district_id,zone_id,zone_code,zone_name,original_district_area_sq_km,dominant_overlap_area_sq_km,dominant_overlap_share,assignment_method,area_method,area_units,working_crs,share_basis,tie_candidate_count,tie_break_applied,district_intersection_sum_sq_m,district_uncovered_area_sq_m,district_uncovered_frac
Ablekuma_Central_Municipal,coastal_zone,CZ,Coastal Zone,14.1696458871747,14.1696458871747,1,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,14169645.8871747,0,0
Ablekuma_North_Municipal,coastal_zone,CZ,Coastal Zone,29.5622805166458,29.5622805166458,1,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,29562280.5166458,0,0
Ablekuma_West_Municipal,coastal_zone,CZ,Coastal Zone,12.6301580502564,12.6301580083672,0.9999999966834,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,12630158.0083672,0.0418891869485378,3.31660037680109e-09
Abuakwa_North,forest_zone,FZ,Forest Zone,158.981341838531,158.981341838531,0.999999999999999,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,158981341.838531,1.19209289550781e-07,7.49831949914324e-16
Abuakwa_South,forest_zone,FZ,Forest Zone,349.823632571861,349.823632571861,1,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,349823632.571861,0,0
Abura_Asebu_Kwamankese,coastal_zone,CZ,Coastal Zone,377.163607362028,377.163606946458,0.999999998898171,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,377163607.344605,0.0174230933189392,4.61950542916918e-11
Accra_Metropolis,coastal_zone,CZ,Coastal Zone,5.59684773010163,5.59684771150758,0.999999996677764,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,5596847.71150758,0.018594047985971,3.32223581605879e-09
Achiase,forest_zone,FZ,Forest Zone,414.753500576041,414.753500576042,1,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,414753500.576041,0,0
Ada_East,coastal_zone,CZ,Coastal Zone,290.47758468591,290.477584505459,0.999999999378776,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,290477584.505459,0.180451571941376,6.21223741365434e-10
Ada_West,coastal_zone,CZ,Coastal Zone,324.452358057199,324.452357827326,0.999999999291504,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,324452358.001268,0.055931031703949,1.72385961497893e-10
Adaklu,forest_zone,FZ,Forest Zone,803.298710265652,803.298709908861,0.999999999555842,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,803298710.265653,0,0
Adansi_Akrofuom,forest_zone,FZ,Forest Zone,568.076185527621,568.076185527621,1,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,568076185.527621,0,0
Adansi_Asokwa,forest_zone,FZ,Forest Zone,595.528695481565,595.528695481565,1,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,595528695.481565,1.19209289550781e-07,2.0017387987389e-16
Adansi_North,forest_zone,FZ,Forest Zone,258.069619191695,258.069619191695,1,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,258069619.191695,0,0
Adansi_South,forest_zone,FZ,Forest Zone,761.067499293282,761.067499293282,1,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,761067499.293282,0,0
Adenta_Municipal,coastal_zone,CZ,Coastal Zone,78.1588162492031,78.1588162492031,1,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,78158816.2492031,1.49011611938477e-08,1.90652339799217e-16
Afadzato_South,forest_zone,FZ,Forest Zone,554.406630259117,554.406630181208,0.999999999859473,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,554406630.181208,0.0779088735580444,1.40526590603059e-10
Afigya_Kwabre_North,forest_zone,FZ,Forest Zone,186.685468834088,186.685468801275,0.999999999824234,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,186685468.834088,0,0
Afigya_Kwabre_South,forest_zone,FZ,Forest Zone,223.299532595053,223.299532595053,1,max_intersection_share,projected,sq_m,EPSG:32630,intersection_over_district_area,1,False,223299532.595053,0,0
